Date,Open,High,Low,Close,Adj Close,Volume
2014-09-08,466.587006,473.812012,466.587006,472.705994,343.372070,6517296
2014-09-09,468.500000,469.431000,465.000000,467.006012,339.231628,4316800
2014-09-10,463.500000,463.500000,457.500000,458.412994,332.989746,5080752
2014-09-11,459.250000,462.462006,453.825012,460.519012,334.519501,5013032
2014-09-12,461.000000,463.500000,456.250000,458.737000,333.225067,3907552
2014-09-15,458.125000,458.500000,453.412994,455.162994,330.628876,4958800
2014-09-16,455.750000,461.312012,452.950012,456.406006,331.531860,5034904
2014-09-17,459.987000,468.513000,458.888000,467.631012,339.685638,7926120
2014-09-18,459.243988,466.212006,456.806000,462.125000,335.686096,9104776
2014-09-19,462.375000,473.487000,460.162994,462.756012,336.144470,14755016
2014-09-22,460.000000,460.343994,454.000000,456.325012,331.472992,8612040
2014-09-23,455.625000,460.431000,449.444000,450.888000,327.523590,12962304
2014-09-24,453.750000,459.031006,449.781006,455.600006,330.946350,5564560
2014-09-25,456.250000,464.850006,455.750000,461.375000,335.141296,24975512
2014-09-26,460.625000,465.031006,457.562012,460.019012,334.156342,8864840
2014-09-29,462.625000,470.118988,460.138000,468.631012,340.412048,4996144
2014-09-30,468.024994,469.537994,462.638000,468.468994,340.294373,6927368
2014-10-01,465.250000,482.493988,465.250000,480.912994,349.333618,9470864
2014-10-07,471.162994,486.618988,471.162994,478.912994,347.880890,20063456
2014-10-08,473.125000,474.000000,455.125000,456.269012,331.432343,20327680
2014-10-09,462.500000,464.250000,453.237000,455.850006,331.127960,12432832
2014-10-10,457.500000,488.500000,446.587006,486.080994,353.087677,45893056
2014-10-13,486.162994,498.125000,486.162994,492.819000,357.982178,17726984
2014-10-14,495.625000,495.625000,487.500000,489.787994,355.780396,6860512
2014-10-15,489.787994,489.787994,489.787994,489.787994,355.780396,0
2014-10-16,487.513000,492.287994,481.794006,483.162994,373.867828,10017392
2014-10-17,483.112000,490.350006,479.638000,481.455994,372.546906,8190016
2014-10-20,481.625000,482.819000,475.263000,476.544006,368.746094,7702720
2014-10-21,481.237000,481.237000,463.750000,471.618988,364.935181,26081384
2014-10-22,476.162994,476.487000,472.024994,474.506012,367.169128,5353320
2014-10-27,481.250000,481.250000,472.774994,475.381012,367.846130,4767752
2014-10-28,470.625000,476.544006,470.625000,473.531006,366.414642,6666368
2014-10-29,476.618988,486.587006,476.618988,485.181000,375.429352,8229336
2014-10-30,487.000000,497.656006,487.000000,493.319000,381.726440,15245208
2014-10-31,498.381012,508.250000,498.381012,506.406006,391.853027,8670800
2014-11-03,509.612000,513.750000,504.056000,510.737000,395.204346,8578408
2014-11-05,510.625000,519.250000,507.125000,515.599976,398.967255,10241080
2014-11-07,514.786987,522.875000,514.786987,520.825012,403.010376,9970400
2014-11-10,521.880981,522.638000,517.500000,520.687988,402.904388,5594168
2014-11-11,520.625000,520.625000,512.974976,515.650024,399.006042,6255088
2014-11-12,515.125000,518.838013,512.138000,513.250000,397.148926,5392896
2014-11-13,515.250000,525.130981,514.049988,522.325012,404.171112,4956680
2014-11-14,524.250000,526.431030,521.750000,523.955994,405.433105,5233176
2014-11-17,523.125000,528.487000,518.513000,527.306030,408.025330,5458184
2014-11-18,528.125000,528.474976,521.513000,522.794006,404.533936,5267120
2014-11-19,522.500000,523.744019,517.468994,521.669006,403.663452,5201120
2014-11-20,523.750000,529.062012,522.981018,528.200012,408.717102,5347928
2014-11-21,521.250000,522.375000,512.700012,518.268982,401.032562,10463272
2014-11-24,525.000000,535.205994,523.994019,534.388000,413.505371,11047440
2014-11-25,536.875000,539.994019,530.750000,537.900024,416.222900,14886576
2014-11-26,537.500000,539.713013,533.950012,537.556030,415.956696,7930800
2014-11-27,540.237000,547.049988,539.000000,545.737000,422.287079,17389032
2014-11-28,546.263000,549.750000,542.924988,544.981018,421.702118,14347264
2014-12-01,548.375000,550.275024,536.575012,543.731018,420.734894,18341864
2014-12-02,541.237000,541.237000,528.750000,531.650024,411.386658,10654992
2014-12-03,525.375000,533.237000,521.138000,530.875000,410.786957,12775044
2014-12-04,527.500000,536.224976,523.750000,525.450012,406.589233,9399228
2014-12-05,528.750000,529.150024,514.950012,517.575012,400.495544,7358760
2014-12-08,502.250000,504.750000,489.437988,492.537994,381.122070,166320408
2014-12-09,495.687988,496.500000,488.112000,491.200012,380.086792,10050460
2014-12-10,491.500000,496.250000,489.774994,490.937988,379.884033,7804712
2014-12-11,487.750000,488.487000,478.750000,480.263000,371.623810,8285932
2014-12-12,484.763000,490.100006,479.524994,484.662994,375.028503,14572500
2014-12-15,476.237000,489.312012,476.225006,481.200012,372.348877,12966284
2014-12-16,481.424988,487.899994,481.424988,484.500000,374.902405,17792756
2014-12-17,484.000000,488.875000,474.075012,484.625000,374.999115,17851776
2014-12-18,488.500000,495.450012,486.187988,491.475006,380.299622,19949980
2014-12-19,499.399994,502.000000,496.500000,499.662994,386.635376,14294632
2014-12-22,501.500000,502.524994,493.837006,499.899994,386.818756,10465104
2014-12-23,500.212006,505.475006,490.899994,492.912994,381.412262,8196952
2014-12-24,494.000000,496.750000,478.763000,482.638000,373.461578,27339488
2014-12-26,486.274994,490.174988,482.737000,488.062012,377.658600,2268748
2014-12-29,489.013000,493.200012,488.125000,489.450012,378.732635,2792676
2014-12-30,490.562012,493.750000,489.200012,491.587006,380.386230,4640552
2014-12-31,488.750000,494.737000,487.500000,493.138000,381.586395,6968808
2015-01-01,492.237000,495.500000,489.225006,493.600006,381.943909,2002764
2015-01-02,493.000000,504.763000,493.000000,503.299988,389.449677,6778320
2015-01-05,502.475006,507.500000,494.375000,498.975006,386.103027,9937024
2015-01-06,495.000000,496.250000,483.524994,488.549988,378.036255,9667316
2015-01-07,491.250000,493.687988,487.500000,490.888000,379.845367,7249916
2015-01-08,496.399994,499.250000,487.500000,493.362000,381.759705,13564920
2015-01-09,495.024994,527.250000,478.263000,518.612000,401.297943,44863328
2015-01-12,523.000000,529.799988,518.750000,528.987000,409.326080,12758888
2015-01-13,526.950012,526.950012,518.750000,522.224976,404.093719,8801236
2015-01-14,524.625000,533.250000,523.150024,532.161987,411.782837,9921260
2015-01-15,533.799988,538.200012,528.062012,533.562012,412.866211,8342452
2015-01-16,537.000000,540.000000,528.000000,529.575012,409.781067,6690960
